As-Of-Date,Symbol,Name,% of Assets,Market Value
2020-12-31,BHE,BENCHMARK ELECTRONICS INC COMMON STOCK USD.1,0.0026698000,370253.0800000000
2020-12-31,LMNX,LUMINEX CORP COMMON STOCK USD.001,0.0026654000,369642.5600000000
2020-12-31,AMRC,AMERESCO INC CL A COMMON STOCK USD.0001,0.0026616900,369127.8400000000
2020-12-31,ROAD,CONSTRUCTION PARTNERS INC A COMMON STOCK USD.001,0.0026595000,368823.7000000000
2020-12-31,NBHC,NATIONAL BANK HOLD CL A COMMON STOCK,0.0026580000,368615.5200000000
2020-12-31,AMCX,AMC NETWORKS INC A COMMON STOCK,0.0026558900,368323.6900000000
2020-12-31,ANGI,ANGI HOMESERVICES INC  A COMMON STOCK,0.0026474300,367150.8800000000
2020-12-31,PING,PING IDENTITY HOLDING CORP COMMON STOCK USD.001,0.0026460900,366964.3200000000
2020-12-31,BUSE,FIRST BUSEY CORP COMMON STOCK USD.001,0.0026329600,365143.2000000000
2020-12-31,MIK,MICHAELS COS INC/THE COMMON STOCK USD.06775,0.0026326400,365099.6300000000
2020-12-31,GPRO,GOPRO INC CLASS A COMMON STOCK USD.0001,0.0026324600,365073.4800000000
2020-12-31,IESC,IES HOLDINGS INC COMMON STOCK USD.01,0.0026309700,364867.0000000000
2020-12-31,OEC,ORION ENGINEERED CARBONS SA COMMON STOCK,0.0026285600,364533.5200000000
2020-12-31,GIII,G III APPAREL GROUP LTD COMMON STOCK USD.01,0.0026245800,363981.6800000000
2020-12-31,NP,NEENAH INC COMMON STOCK USD.01,0.0025980300,360299.1600000000
2020-12-31,MYRG,MYR GROUP INC/DELAWARE COMMON STOCK USD.01,0.0025932600,359638.4000000000
2020-12-31,NKTX,NKARTA INC COMMON STOCK,0.0025929800,359599.5000000000
2020-12-31,KOS,KOSMOS ENERGY LTD COMMON STOCK USD.01,0.0025910200,359326.7500000000
2020-12-31,FCF,FIRST COMMONWEALTH FINL CORP COMMON STOCK USD1.0,0.0025841400,358372.5200000000
2020-12-31,KPTI,KARYOPHARM THERAPEUTICS INC COMMON STOCK USD.0001,0.0025811600,357959.5200000000
2020-12-31,VLDR,VELODYNE LIDAR INC COMMON STOCK USD.0001,0.0025684500,356197.3800000000
2020-12-31,IPAR,INTER PARFUMS INC COMMON STOCK USD.001,0.0025581900,354773.8500000000
2020-12-31,CLNE,CLEAN ENERGY FUELS CORP COMMON STOCK USD.0001,0.0025522000,353943.6600000000
2020-12-31,FBNC,FIRST BANCORP/NC COMMON STOCK,0.0025479500,353354.3500000000
2020-12-31,PTEN,PATTERSON UTI ENERGY INC COMMON STOCK USD.01,0.0025244900,350100.3400000000
2020-12-31,SNEX,STONEX GROUP INC COMMON STOCK USD.01,0.0025233900,349947.6000000000
2020-12-31,BLFS,BIOLIFE SOLUTIONS INC COMMON STOCK USD.001,0.0025211400,349635.8500000000
2020-12-31,DCT,DUCK CREEK TECHNOLOGIES INC COMMON STOCK USD.01,0.0025134200,348565.0000000000
2020-12-31,CEVA,CEVA INC COMMON STOCK USD.001,0.0025059500,347529.0000000000
2020-12-31,STBA,S + T BANCORP INC COMMON STOCK USD2.5,0.0025033100,347163.8400000000
2020-12-31,DHC,DIVERSIFIED HEALTHCARE TRUST REIT USD.01,0.0025028700,347101.7600000000
2020-12-31,DRQ,DRIL QUIP INC COMMON STOCK USD.01,0.0025021200,346998.3000000000
2020-12-31,ADVM,ADVERUM BIOTECHNOLOGIES INC COMMON STOCK USD.0001,0.0025012700,346880.0000000000
2020-12-31,PPC,PILGRIM S PRIDE CORP COMMON STOCK USD.01,0.0025001400,346724.4100000000
2020-12-31,MATW,MATTHEWS INTL CORP CLASS A COMMON STOCK USD1.0,0.0024988000,346537.8000000000
2020-12-31,TCBK,TRICO BANCSHARES COMMON STOCK,0.0024892600,345214.8000000000
2020-12-31,INSG,INSEEGO CORP COMMON STOCK,0.0024861200,344779.8900000000
2020-12-31,SKT,TANGER FACTORY OUTLET CENTER REIT USD.01,0.0024850100,344625.9600000000
2020-12-31,INN,SUMMIT HOTEL PROPERTIES INC REIT,0.0024821400,344227.0500000000
2020-12-31,OFG,OFG BANCORP COMMON STOCK USD1.0,0.0024732200,342990.0000000000
2020-12-31,GNMK,GENMARK DIAGNOSTICS INC COMMON STOCK USD.0001,0.0024727500,342924.8000000000
2020-12-31,GLDD,GREAT LAKES DREDGE + DOCK CO COMMON STOCK USD.0001,0.0024705300,342617.5500000000
2020-12-31,HEES,H+E EQUIPMENT SERVICES INC COMMON STOCK USD.01,0.0024702400,342576.5200000000
2020-12-31,BLNK,BLINK CHARGING CO COMMON STOCK USD.001,0.0024657700,341957.2500000000
2020-12-31,SXI,STANDEX INTERNATIONAL CORP COMMON STOCK USD1.5,0.0024639700,341708.1600000000
2020-12-31,GES,GUESS? INC COMMON STOCK USD.01,0.0024621000,341448.9000000000
2020-12-31,SDC,SMILEDIRECTCLUB INC COMMON STOCK,0.0024612400,341328.7800000000
2020-12-31,TBPH,THERAVANCE BIOPHARMA INC COMMON STOCK USD.00001,0.0024612200,341326.1600000000
2020-12-31,SHYF,SHYFT GROUP INC/THE COMMON STOCK USD.01,0.0024544700,340389.7200000000
2020-12-31,WNC,WABASH NATIONAL CORP COMMON STOCK USD.01,0.0024506600,339861.7500000000
2020-12-31,FIZZ,NATIONAL BEVERAGE CORP COMMON STOCK USD.01,0.0024506100,339854.7000000000
2020-12-31,ATRI,ATRION CORPORATION COMMON STOCK USD.1,0.0024451900,339102.7200000000
2020-12-31,CWH,CAMPING WORLD HOLDINGS INC A COMMON STOCK USD.01,0.0024436100,338884.4500000000
2020-12-31,GRPN,GROUPON INC COMMON STOCK USD.0001,0.0024389000,338231.4900000000
2020-12-31,WLL,WHITING PETROLEUM CORP COMMON STOCK,0.0024354300,337750.0000000000
2020-12-31,CRY,CRYOLIFE INC COMMON STOCK USD.01,0.0024316200,337221.6300000000
2020-12-31,PRA,PROASSURANCE CORP COMMON STOCK USD.01,0.0024296100,336942.6000000000
2020-12-31,HFWA,HERITAGE FINANCIAL CORP COMMON STOCK,0.0024281900,336745.8300000000
2020-12-31,ELF,ELF BEAUTY INC COMMON STOCK USD.01,0.0024250600,336311.6900000000
2020-12-31,TRHC,TABULA RASA HEALTHCARE INC COMMON STOCK USD.0001,0.0024187600,335437.2000000000
2020-12-31,BRBR,BELLRING BRANDS INC CLASS A COMMON STOCK USD.01,0.0024085300,334019.4000000000
2020-12-31,REPL,REPLIMUNE GROUP INC COMMON STOCK USD.001,0.0024064900,333736.2000000000
2020-12-31,MGY,MAGNOLIA OIL + GAS CORP   A COMMON STOCK USD.0001,0.0024043300,333436.7400000000
2020-12-31,EBIX,EBIX INC COMMON STOCK USD.1,0.0024011600,332996.9000000000
2020-12-31,GTY,GETTY REALTY CORP REIT USD.01,0.0023973100,332462.8800000000
2020-12-31,BHLB,BERKSHIRE HILLS BANCORP INC COMMON STOCK USD.01,0.0023961300,332299.2000000000
2020-12-31,UTZ,UTZ BRANDS INC COMMON STOCK USD.0001,0.0023911300,331605.9200000000
2020-12-31,PLOW,DOUGLAS DYNAMICS INC COMMON STOCK USD.01,0.0023821100,330355.4800000000
2020-12-31,USNA,USANA HEALTH SCIENCES INC COMMON STOCK USD.001,0.0023805700,330142.2000000000
2020-12-31,OMER,OMEROS CORP COMMON STOCK USD.01,0.0023764400,329569.2400000000
2020-12-31,SWBI,SMITH + WESSON BRANDS INC COMMON STOCK USD.001,0.0023750000,329369.0000000000
2020-12-31,NFE,NEW FORTRESS ENERGY INC COMMON STOCK,0.0023749600,329364.1400000000
2020-12-31,HTLD,HEARTLAND EXPRESS INC COMMON STOCK USD.01,0.0023706700,328768.4000000000
2020-12-31,DK,DELEK US HOLDINGS INC COMMON STOCK USD.01,0.0023678300,328374.3800000000
2020-12-31,SBSI,SOUTHSIDE BANCSHARES INC COMMON STOCK USD1.25,0.0023598900,327273.4100000000
2020-12-31,LL,LUMBER LIQUIDATORS HOLDINGS COMMON STOCK USD.001,0.0023593300,327196.5600000000
2020-12-31,SCHN,SCHNITZER STEEL INDS INC A COMMON STOCK USD1.0,0.0023582500,327045.5900000000
2020-12-31,FWONA,LIBERTY MEDIA CORP LIBERTY A TRACKING STK USD.01,0.0023572200,326903.9500000000
2020-12-31,SAH,SONIC AUTOMOTIVE INC CLASS A COMMON STOCK USD.01,0.0023565000,326803.6100000000
2020-12-31,GABC,GERMAN AMERICAN BANCORP COMMON STOCK,0.0023516800,326135.0400000000
2020-12-31,CWEN.A,CLEARWAY ENERGY INC A COMMON STOCK USD.01,0.0023438600,325050.0000000000
2020-12-31,MDXG,MIMEDX GROUP INC COMMON STOCK USD.001,0.0023436300,325018.6000000000
2020-12-31,BALY,BALLY S CORP COMMON STOCK USD.01,0.0023416000,324736.9500000000
2020-12-31,KRA,KRATON CORP COMMON STOCK USD.01,0.0023399200,324503.8300000000
2020-12-31,RYTM,RHYTHM PHARMACEUTICALS INC COMMON STOCK,0.0023394800,324443.4900000000
2020-12-31,PETQ,PETIQ INC COMMON STOCK USD.001,0.0023366900,324056.6000000000
2020-12-31,CSR,CENTERSPACE REIT,0.0023308700,323248.6400000000
2020-12-31,EXTR,EXTREME NETWORKS INC COMMON STOCK USD.001,0.0023306400,323216.7900000000
2020-12-31,PRDO,PERDOCEO EDUCATION CORP COMMON STOCK USD.01,0.0023282500,322885.9500000000
2020-12-31,ACLS,AXCELIS TECHNOLOGIES INC COMMON STOCK USD.001,0.0023269700,322707.8400000000
2020-12-31,VVNT,VIVINT SMART HOME INC COMMON STOCK,0.0023263400,322621.0000000000
2020-12-31,CNST,CONSTELLATION PHARMACEUTICAL COMMON STOCK USD.0001,0.0023261100,322588.8000000000
2020-12-31,HOME,AT HOME GROUP INC COMMON STOCK USD.01,0.0023207500,321846.2800000000
2020-12-31,PI,IMPINJ INC COMMON STOCK USD.001,0.0023193100,321645.3400000000
2020-12-31,PFC,PREMIER FINANCIAL CORP COMMON STOCK USD.01,0.0023177200,321425.0000000000
2020-12-31,DIN,DINE BRANDS GLOBAL INC COMMON STOCK USD.01,0.0023161200,321204.0000000000
2020-12-31,TMP,TOMPKINS FINANCIAL CORP COMMON STOCK USD.1,0.0023142700,320947.6000000000
2020-12-31,VERX,VERTEX INC   CLASS A COMMON STOCK USD.001,0.0023099000,320341.2000000000
2020-12-31,CMCO,COLUMBUS MCKINNON CORP/NY COMMON STOCK USD.01,0.0023036500,319474.8400000000
2020-12-31,RDUS,RADIUS HEALTH INC COMMON STOCK USD.0001,0.0023024000,319301.0800000000
2020-12-31,FRG,FRANCHISE GROUP INC COMMON STOCK USD.01,0.0022966800,318507.0000000000
2020-12-31,PSN,PARSONS CORP COMMON STOCK USD1.0,0.0022956800,318369.0400000000
2020-12-31,INVA,INNOVIVA INC COMMON STOCK USD.01,0.0022945500,318212.3700000000
2020-12-31,CRVL,CORVEL CORP COMMON STOCK USD.0001,0.0022945500,318212.0000000000
2020-12-31,CHEF,CHEFS  WAREHOUSE INC/THE COMMON STOCK USD.01,0.0022940700,318144.9600000000
2020-12-31,LNTH,LANTHEUS HOLDINGS INC COMMON STOCK USD.01,0.0022927300,317959.3000000000
2020-12-31,XPEL,XPEL INC COMMON STOCK,0.0022879700,317300.2400000000
2020-12-31,CYH,COMMUNITY HEALTH SYSTEMS INC COMMON STOCK USD.01,0.0022756900,315596.6800000000
2020-12-31,BRKL,BROOKLINE BANCORP INC COMMON STOCK USD.01,0.0022695800,314749.6800000000
2020-12-31,AMRS,AMYRIS INC COMMON STOCK,0.0022605200,313492.4000000000
2020-12-31,HMST,HOMESTREET INC COMMON STOCK,0.0022557300,312828.7500000000
2020-12-31,ANDE,ANDERSONS INC/THE COMMON STOCK,0.0022456000,311424.0600000000
2020-12-31,BATRK,LIBERTY MEDIA CORP BRAVES C TRACKING STK,0.0022344700,309880.4000000000
2020-12-31,DENN,DENNY S CORP COMMON STOCK USD.01,0.0022335200,309748.0000000000
2020-12-31,NXRT,NEXPOINT RESIDENTIAL REIT USD.01,0.0022308000,309370.7200000000
2020-12-31,SRI,STONERIDGE INC COMMON STOCK,0.0022225400,308225.0800000000
2020-12-31,TFSL,TFS FINANCIAL CORP COMMON STOCK USD.01,0.0022174500,307520.0900000000
2020-12-31,MMI,MARCUS + MILLICHAP INC COMMON STOCK USD.0001,0.0022155700,307259.1900000000
2020-12-31,TPRE,THIRD POINT REINSURANCE LTD COMMON STOCK USD.1,0.0022128800,306886.7200000000
2020-12-31,BKD,BROOKDALE SENIOR LIVING INC COMMON STOCK USD.01,0.0022097000,306445.2500000000
2020-12-31,BJRI,BJ S RESTAURANTS INC COMMON STOCK,0.0022084000,306264.9300000000
2020-12-31,ANAT,AMERICAN NATIONAL GROUP INC COMMON STOCK USD.01,0.0021992000,304988.7600000000
2020-12-31,INGN,INOGEN INC COMMON STOCK USD.001,0.0021982100,304851.6400000000
2020-12-31,CLBK,COLUMBIA FINANCIAL INC COMMON STOCK USD.01,0.0021966400,304633.6800000000
2020-12-31,HNGR,HANGER INC COMMON STOCK USD.01,0.0021913600,303901.8000000000
2020-12-31,IHRT,IHEARTMEDIA INC   CLASS A COMMON STOCK,0.0021858300,303134.9200000000
2020-12-31,DBD,DIEBOLD NIXDORF INC COMMON STOCK USD1.25,0.0021758600,301752.6200000000
2020-12-31,RAD,RITE AID CORP COMMON STOCK USD1.0,0.0021715200,301149.9200000000
2020-12-31,ENVA,ENOVA INTERNATIONAL INC COMMON STOCK USD.00001,0.0021706500,301029.8100000000
2020-12-31,LC,LENDINGCLUB CORP COMMON STOCK USD.01,0.0021698400,300917.7600000000
2020-12-31,LRN,STRIDE INC COMMON STOCK USD.0001,0.0021695100,300871.5600000000
2020-12-31,BKE,BUCKLE INC/THE COMMON STOCK USD.01,0.0021678600,300643.2000000000
2020-12-31,ACMR,ACM RESEARCH INC CLASS A COMMON STOCK USD.0001,0.0021659800,300381.2500000000
2020-12-31,APOG,APOGEE ENTERPRISES INC COMMON STOCK USD.333,0.0021658100,300358.0800000000
2020-12-31,SIBN,SI BONE INC COMMON STOCK USD.0001,0.0021650700,300255.8000000000
2020-12-31,NVEE,NV5 GLOBAL INC COMMON STOCK USD.01,0.0021569400,299127.6600000000
2020-12-31,UHT,UNIVERSAL HEALTH RLTY INCOME REIT USD.01,0.0021568300,299112.5800000000
2020-12-31,PRVB,PROVENTION BIO INC COMMON STOCK,0.0021566800,299092.6400000000
2020-12-31,GFF,GRIFFON CORP COMMON STOCK USD.25,0.0021549500,298852.3200000000
2020-12-31,AMPH,AMPHASTAR PHARMACEUTICALS IN COMMON STOCK USD.0001,0.0021543900,298774.2700000000
2020-12-31,HA,HAWAIIAN HOLDINGS INC COMMON STOCK USD.01,0.0021452100,297501.6000000000
2020-12-31,MYE,MYERS INDUSTRIES INC COMMON STOCK,0.0021442000,297361.8000000000
2020-12-31,ATNX,ATHENEX INC COMMON STOCK USD.001,0.0021437900,297303.8600000000
2020-12-31,CXW,CORECIVIC INC REIT USD.01,0.0021373200,296407.1500000000
2020-12-31,PSNL,PERSONALIS INC COMMON STOCK,0.0021330000,295808.8000000000
2020-12-31,OSPN,ONESPAN INC COMMON STOCK USD.001,0.0021328400,295786.0400000000
2020-12-31,ALEC,ALECTOR INC COMMON STOCK USD.0001,0.0021324400,295730.9800000000
2020-12-31,UNFI,UNITED NATURAL FOODS INC COMMON STOCK USD.01,0.0021316500,295620.6700000000
2020-12-31,KRNY,KEARNY FINANCIAL CORP/MD COMMON STOCK USD.01,0.0021270500,294983.0400000000
2020-12-31,SYBT,STOCK YARDS BANCORP INC COMMON STOCK,0.0021243900,294613.4400000000
2020-12-31,VECO,VEECO INSTRUMENTS INC COMMON STOCK USD.01,0.0021216500,294234.6400000000
2020-12-31,CKH,SEACOR HOLDINGS INC COMMON STOCK USD.01,0.0021176100,293673.2500000000
2020-12-31,ACCO,ACCO BRANDS CORP COMMON STOCK USD.01,0.0021164300,293510.7500000000
2020-12-31,GLT,GLATFELTER CORP COMMON STOCK USD.01,0.0021143300,293218.3800000000
2020-12-31,TCRR,TCR2 THERAPEUTICS INC COMMON STOCK USD.0001,0.0021116400,292845.2400000000
2020-12-31,JAMF,JAMF HOLDING CORP COMMON STOCK,0.0021065400,292138.8800000000
2020-12-31,ENTA,ENANTA PHARMACEUTICALS INC COMMON STOCK USD.01,0.0020986000,291037.3000000000
2020-12-31,CCO,CLEAR CHANNEL OUTDOOR HOLDIN COMMON STOCK,0.0020958500,290655.7500000000
2020-12-31,CNDT,CONDUENT INC COMMON STOCK USD.01,0.0020948700,290520.0000000000
2020-12-31,OM,OUTSET MEDICAL INC COMMON STOCK USD.001,0.0020923300,290168.2000000000
2020-12-31,WASH,WASHINGTON TRUST BANCORP COMMON STOCK USD.0625,0.0020907300,289945.6000000000
2020-12-31,ARCT,ARCTURUS THERAPEUTICS HOLDIN COMMON STOCK USD.001,0.0020863900,289344.6000000000
2020-12-31,CIR,CIRCOR INTERNATIONAL INC COMMON STOCK USD.01,0.0020860700,289299.4400000000
2020-12-31,ACI,ALBERTSONS COS INC   CLASS A COMMON STOCK USD.01,0.0020856700,289243.7400000000
2020-12-31,AFIN,AMERICAN FINANCE TRUST INC REIT,0.0020836200,288960.1300000000
2020-12-31,SEB,SEABOARD CORP COMMON STOCK USD1.0,0.0020763000,287945.0000000000
2020-12-31,ZUMZ,ZUMIEZ INC COMMON STOCK,0.0020705100,287141.4600000000
2020-12-31,FFWM,FIRST FOUNDATION INC COMMON STOCK USD.001,0.0020694900,287000.0000000000
2020-12-31,CBB,CINCINNATI BELL INC COMMON STOCK USD.01,0.0020670900,286668.0800000000
2020-12-31,SSP,EW SCRIPPS CO/THE A COMMON STOCK USD.01,0.0020643700,286289.9600000000
2020-12-31,HZO,MARINEMAX INC COMMON STOCK USD.001,0.0020639400,286230.1300000000
2020-12-31,PRLD,PRELUDE THERAPEUTICS INC COMMON STOCK USD.0001,0.0020606200,285770.7000000000
2020-12-31,ZNTL,ZENTALIS PHARMACEUTICALS INC COMMON STOCK USD.001,0.0020595200,285618.0600000000
2020-12-31,UEIC,UNIVERSAL ELECTRONICS INC COMMON STOCK USD.01,0.0020589600,285539.7800000000
2020-12-31,RVLV,REVOLVE GROUP INC COMMON STOCK USD.001,0.0020587900,285517.2000000000
2020-12-31,JBSS,JOHN B. SANFILIPPO + SON INC COMMON STOCK USD.01,0.0020567700,285236.6200000000
2020-12-31,KFRC,KFORCE INC COMMON STOCK USD.01,0.0020562200,285159.7500000000
2020-12-31,PLCE,CHILDREN S PLACE INC/THE COMMON STOCK USD.1,0.0020519500,284568.0000000000
2020-12-31,STEP,STEPSTONE GROUP INC CLASS A COMMON STOCK USD.001,0.0020508200,284410.8000000000
2020-12-31,TCMD,TACTILE SYSTEMS TECHNOLOGY I COMMON STOCK USD.001,0.0020483300,284065.7400000000
2020-12-31,HLIT,HARMONIC INC COMMON STOCK USD.001,0.0020466100,283827.7300000000
2020-12-31,BCOV,BRIGHTCOVE COMMON STOCK USD.001,0.0020444300,283525.6000000000
2020-12-31,KELYA,KELLY SERVICES INC  A COMMON STOCK USD1.0,0.0020440700,283475.1700000000
2020-12-31,AGYS,AGILYSYS INC COMMON STOCK USD.3,0.0020426800,283282.7800000000
2020-12-31,FMTX,FORMA THERAPEUTICS HOLDINGS COMMON STOCK,0.0020411800,283073.9000000000
2020-12-31,COWN,COWEN INC   A COMMON STOCK USD.01,0.0020399300,282901.1500000000
2020-12-31,RLAY,RELAY THERAPEUTICS INC COMMON STOCK,0.0020378200,282608.0000000000
2020-12-31,FDP,FRESH DEL MONTE PRODUCE INC COMMON STOCK USD.01,0.0020365900,282437.3800000000
2020-12-31,QADA,QAD INC A COMMON STOCK,0.0020350600,282225.0600000000
2020-12-31,OII,OCEANEERING INTL INC COMMON STOCK USD.25,0.0020350600,282225.0000000000
2020-12-31,FPRX,FIVE PRIME THERAPEUTICS INC COMMON STOCK USD.001,0.0020332500,281974.7700000000
2020-12-31,MVIS,MICROVISION INC COMMON STOCK USD.001,0.0020305500,281599.9600000000
2020-12-31,OFIX,ORTHOFIX MEDICAL INC COMMON STOCK USD.1,0.0020240800,280702.3800000000
2020-12-31,WMK,WEIS MARKETS INC COMMON STOCK,0.0020229700,280549.0800000000
2020-12-31,JOUT,JOHNSON OUTDOORS INC A COMMON STOCK USD.05,0.0020157500,279547.6600000000
2020-12-31,DNOW,NOW INC COMMON STOCK USD.01,0.0020127900,279136.8600000000
2020-12-31,PLAB,PHOTRONICS INC COMMON STOCK USD.01,0.0020110000,278888.4000000000
2020-12-31,ADTN,ADTRAN INC COMMON STOCK USD.01,0.0020108800,278872.3700000000
2020-12-31,PMVP,PMV PHARMACEUTICALS INC COMMON STOCK,0.0020083200,278517.2800000000
2020-12-31,FBMS,FIRST BANCSHARES INC/MS COMMON STOCK USD1.0,0.0020035700,277858.2400000000
2020-12-31,ESPR,ESPERION THERAPEUTICS INC COMMON STOCK USD.001,0.0020004100,277420.0000000000
2020-12-31,AMBC,AMBAC FINANCIAL GROUP INC COMMON STOCK USD.01,0.0019993300,277270.6400000000
2020-12-31,AIV,APARTMENT INVT + MGMT CO  A REIT USD.01,0.0019993200,277268.6400000000
2020-12-31,CARS,CARS.COM INC COMMON STOCK USD.01,0.0019982500,277121.2000000000
2020-12-31,MITK,MITEK SYSTEMS INC COMMON STOCK USD.001,0.0019961900,276834.6000000000
2020-12-31,RADI,RADIUS GLOBAL INFRASTRUCTU A COMMON STOCK,0.0019949300,276660.5000000000
2020-12-31,PRPL,PURPLE INNOVATION INC COMMON STOCK,0.0019932900,276432.4800000000
2020-12-31,RDNT,RADNET INC COMMON STOCK USD.0001,0.0019921100,276269.6900000000
2020-12-31,XENT,INTERSECT ENT INC COMMON STOCK USD.001,0.0019897700,275945.0000000000
2020-12-31,SMP,STANDARD MOTOR PRODS COMMON STOCK USD2.0,0.0019827100,274966.1600000000
2020-12-31,MDP,MEREDITH CORP COMMON STOCK USD1.0,0.0019795100,274521.6000000000
2020-12-31,ECHO,ECHO GLOBAL LOGISTICS INC COMMON STOCK USD.0001,0.0019716400,273429.9000000000
2020-12-31,OSUR,ORASURE TECHNOLOGIES INC COMMON STOCK USD.000001,0.0019669900,272786.0400000000
2020-12-31,EBSB,MERIDIAN BANCORP INC COMMON STOCK,0.0019643600,272420.6100000000
2020-12-31,QUOT,QUOTIENT TECHNOLOGY INC COMMON STOCK USD.00001,0.0019636500,272322.7800000000
2020-12-31,VIVO,MERIDIAN BIOSCIENCE INC COMMON STOCK,0.0019595400,271752.6000000000
2020-12-31,TBI,TRUEBLUE INC COMMON STOCK,0.0019595400,271752.6000000000
2020-12-31,LUNG,PULMONX CORP COMMON STOCK,0.0019519300,270696.4400000000
2020-12-31,UTL,UNITIL CORP COMMON STOCK,0.0019488400,270268.3500000000
2020-12-31,CCF,CHASE CORP COMMON STOCK USD.1,0.0019469000,269999.7300000000
2020-12-31,TBBK,BANCORP INC/THE COMMON STOCK USD1.0,0.0019427500,269423.7000000000
2020-12-31,PTGX,PROTAGONIST THERAPEUTICS INC COMMON STOCK USD.00001,0.0019414000,269236.8000000000
2020-12-31,SCHL,SCHOLASTIC CORP COMMON STOCK USD.01,0.0019393300,268950.0000000000
2020-12-31,ABTX,ALLEGIANCE BANCSHARES INC COMMON STOCK USD1.0,0.0019360900,268500.7100000000
2020-12-31,PGEN,PRECIGEN INC COMMON STOCK,0.0019256800,267056.4000000000
2020-12-31,RILY,B. RILEY FINANCIAL INC COMMON STOCK USD.0001,0.0019255900,267044.5800000000
2020-12-31,NX,QUANEX BUILDING PRODUCTS COMMON STOCK USD.01,0.0019239400,266815.9500000000
2020-12-31,BIGC,BIGCOMMERCE HOLDINGS SER 1 COMMON STOCK,0.0019201300,266286.6500000000
2020-12-31,NTUS,NATUS MEDICAL INC COMMON STOCK USD.001,0.0019193000,266171.2800000000
2020-12-31,SRCE,1ST SOURCE CORP COMMON STOCK,0.0019182100,266020.3000000000
2020-12-31,TVTY,TIVITY HEALTH INC COMMON STOCK USD.001,0.0019180100,265993.0200000000
2020-12-31,LGF.A,LIONS GATE ENTERTAINMENT A COMMON STOCK NPV,0.0019162700,265751.0100000000
2020-12-31,ICHR,ICHOR HOLDINGS LTD COMMON STOCK USD.0001,0.0019113200,265064.9900000000
2020-12-31,MCRI,MONARCH CASINO + RESORT INC COMMON STOCK USD.01,0.0019070300,264470.4000000000
2020-12-31,PRTY,PARTY CITY HOLDCO INC COMMON STOCK USD.01,0.0019060400,264333.1500000000
2020-12-31,RESI,FRONT YARD RESIDENTIAL CORP REIT USD.01,0.0019037200,264011.4000000000
2020-12-31,HIBB,HIBBETT SPORTS INC COMMON STOCK USD.01,0.0019030500,263918.7000000000
2020-12-31,PAYA,PAYA HOLDINGS INC A COMMON STOCK USD.0001,0.0019027200,263872.9800000000
2020-12-31,BANC,BANC OF CALIFORNIA INC COMMON STOCK USD.01,0.0019003500,263544.3600000000
2020-12-31,NHC,NATIONAL HEALTHCARE CORP COMMON STOCK USD.01,0.0018987000,263315.6500000000
2020-12-31,STRO,SUTRO BIOPHARMA INC COMMON STOCK USD.001,0.0018907600,262213.3800000000
2020-12-31,HGEN,HUMANIGEN INC COMMON STOCK USD.001,0.0018778100,260417.5000000000
2020-12-31,PTVE,PACTIV EVERGREEN INC COMMON STOCK,0.0018774200,260363.4200000000
2020-12-31,CLCT,COLLECTORS UNIVERSE COMMON STOCK USD.001,0.0018751900,260054.6000000000
2020-12-31,ATEC,ALPHATEC HOLDINGS INC COMMON STOCK USD.0001,0.0018743400,259937.0400000000
2020-12-31,LMAT,LEMAITRE VASCULAR INC COMMON STOCK USD.01,0.0018696100,259281.0000000000
2020-12-31,NARI,INARI MEDICAL INC COMMON STOCK USD.001,0.0018668800,258902.1400000000
2020-12-31,PETS,PETMED EXPRESS INC COMMON STOCK USD.001,0.0018612000,258115.0600000000
2020-12-31,VVI,VIAD CORP COMMON STOCK USD1.5,0.0018601200,257964.4400000000
2020-12-31,SPWH,SPORTSMAN S WAREHOUSE HOLDIN COMMON STOCK USD.01,0.0018554600,257318.1000000000
2020-12-31,SNDR,SCHNEIDER NATIONAL INC CL B COMMON STOCK,0.0018550400,257259.6000000000
2020-12-31,VERI,VERITONE INC COMMON STOCK USD.001,0.0018457000,255964.6500000000
2020-12-31,LBAI,LAKELAND BANCORP INC COMMON STOCK,0.0018382200,254927.1000000000
2020-12-31,CLDX,CELLDEX THERAPEUTICS INC COMMON STOCK USD.001,0.0018329600,254197.6800000000
2020-12-31,RPT,RPT REALTY REIT USD.01,0.0018307700,253894.8000000000
2020-12-31,SLQT,SELECTQUOTE INC COMMON STOCK USD.01,0.0018301900,253814.0000000000
2020-12-31,BNL,BROADSTONE NET LEASE INC A COMMON STOCK,0.0018262500,253267.3000000000
2020-12-31,ALBO,ALBIREO PHARMA INC COMMON STOCK USD.01,0.0018235500,252892.4200000000
2020-12-31,PFBC,PREFERRED BANK/LOS ANGELES COMMON STOCK,0.0018200000,252400.4700000000
2020-12-31,CARA,CARA THERAPEUTICS INC COMMON STOCK USD.001,0.0018128900,251415.2100000000
2020-12-31,RBBN,RIBBON COMMUNICATIONS INC COMMON STOCK USD.001,0.0018108800,251136.4800000000
2020-12-31,BCOR,BLUCORA INC COMMON STOCK USD.0001,0.0018072300,250630.2300000000
2020-12-31,BLI,BERKELEY LIGHTS INC COMMON STOCK,0.0018064900,250526.8200000000
2020-12-31,BTAI,BIOXCEL THERAPEUTICS INC COMMON STOCK USD.001,0.0017936100,248740.8000000000
2020-12-31,ATRS,ANTARES PHARMA INC COMMON STOCK USD.01,0.0017926300,248604.9300000000
